Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
2019-02-21 23:45:33.175,0.125,0.316,0.930
2019-02-21 23:45:33.188,0.125,0.316,0.938
2019-02-21 23:45:33.200,0.125,0.320,0.934
2019-02-21 23:45:33.213,0.125,0.313,0.938
2019-02-21 23:45:33.225,0.125,0.313,0.934
2019-02-21 23:45:33.238,0.125,0.309,0.934
2019-02-21 23:45:33.250,0.117,0.309,0.941
2019-02-21 23:45:33.263,0.121,0.313,0.934
2019-02-21 23:45:33.275,0.125,0.309,0.934
2019-02-21 23:45:33.288,0.125,0.313,0.934
2019-02-21 23:45:33.300,0.125,0.313,0.938
2019-02-21 23:45:33.313,0.125,0.313,0.934
2019-02-21 23:45:33.325,0.125,0.313,0.930
2019-02-21 23:45:33.338,0.125,0.309,0.930
2019-02-21 23:45:33.350,0.125,0.309,0.938
2019-02-21 23:45:33.363,0.125,0.313,0.938
2019-02-21 23:45:33.375,0.125,0.313,0.941
2019-02-21 23:45:33.388,0.129,0.316,0.938
2019-02-21 23:45:33.400,0.129,0.316,0.934
2019-02-21 23:45:33.413,0.125,0.313,0.930
2019-02-21 23:45:33.425,0.121,0.313,0.934
2019-02-21 23:45:33.438,0.121,0.313,0.938
2019-02-21 23:45:33.450,0.121,0.309,0.930
2019-02-21 23:45:33.463,0.129,0.309,0.934
2019-02-21 23:45:33.475,0.125,0.313,0.930
2019-02-21 23:45:33.488,0.125,0.313,0.934
2019-02-21 23:45:33.500,0.117,0.313,0.934
2019-02-21 23:45:33.513,0.125,0.309,0.934
2019-02-21 23:45:33.525,0.125,0.309,0.930
2019-02-21 23:45:33.538,0.121,0.309,0.926
2019-02-21 23:45:33.550,0.129,0.313,0.930
2019-02-21 23:45:33.563,0.125,0.313,0.934
2019-02-21 23:45:33.575,0.129,0.313,0.930
2019-02-21 23:45:33.588,0.129,0.316,0.934
2019-02-21 23:45:33.600,0.125,0.316,0.934
2019-02-21 23:45:33.613,0.125,0.313,0.930
2019-02-21 23:45:33.625,0.125,0.309,0.926
2019-02-21 23:45:33.638,0.129,0.309,0.930
2019-02-21 23:45:33.650,0.125,0.309,0.938
2019-02-21 23:45:33.663,0.133,0.309,0.938
2019-02-21 23:45:33.675,0.133,0.316,0.934
2019-02-21 23:45:33.688,0.133,0.313,0.930
2019-02-21 23:45:33.700,0.121,0.309,0.930
2019-02-21 23:45:33.713,0.121,0.309,0.934
2019-02-21 23:45:33.725,0.125,0.305,0.938
2019-02-21 23:45:33.738,0.133,0.309,0.941
2019-02-21 23:45:33.750,0.133,0.309,0.945
2019-02-21 23:45:33.763,0.129,0.309,0.941
2019-02-21 23:45:33.775,0.125,0.324,0.938
2019-02-21 23:45:33.788,0.117,0.328,0.930
2019-02-21 23:45:33.800,0.117,0.332,0.922
2019-02-21 23:45:33.813,0.117,0.324,0.926
2019-02-21 23:45:33.825,0.117,0.320,0.926
2019-02-21 23:45:33.838,0.125,0.313,0.930
2019-02-21 23:45:33.850,0.129,0.309,0.938
2019-02-21 23:45:33.863,0.129,0.305,0.941
2019-02-21 23:45:33.875,0.125,0.301,0.934
2019-02-21 23:45:33.888,0.129,0.301,0.938
2019-02-21 23:45:33.900,0.133,0.301,0.934
2019-02-21 23:45:33.913,0.133,0.305,0.934
2019-02-21 23:45:33.925,0.129,0.309,0.934
2019-02-21 23:45:33.938,0.125,0.316,0.934
2019-02-21 23:45:33.950,0.125,0.316,0.934
2019-02-21 23:45:33.963,0.125,0.313,0.934
2019-02-21 23:45:33.975,0.129,0.313,0.938
2019-02-21 23:45:33.988,0.129,0.309,0.934
2019-02-21 23:45:34.000,0.113,0.313,0.930
2019-02-21 23:45:34.013,0.125,0.313,0.930
2019-02-21 23:45:34.025,0.125,0.309,0.930
2019-02-21 23:45:34.038,0.129,0.309,0.930
2019-02-21 23:45:34.050,0.129,0.301,0.934
2019-02-21 23:45:34.063,0.121,0.305,0.938
2019-02-21 23:45:34.075,0.125,0.309,0.941
2019-02-21 23:45:34.088,0.125,0.309,0.938
2019-02-21 23:45:34.100,0.125,0.313,0.938
2019-02-21 23:45:34.113,0.117,0.313,0.930
2019-02-21 23:45:34.125,0.125,0.316,0.926
2019-02-21 23:45:34.138,0.129,0.313,0.930
2019-02-21 23:45:34.150,0.125,0.313,0.930
2019-02-21 23:45:34.163,0.125,0.309,0.934
2019-02-21 23:45:34.175,0.129,0.309,0.934
2019-02-21 23:45:34.188,0.133,0.305,0.941
2019-02-21 23:45:34.200,0.125,0.305,0.938
2019-02-21 23:45:34.213,0.125,0.305,0.930
2019-02-21 23:45:34.225,0.129,0.309,0.930
2019-02-21 23:45:34.238,0.129,0.309,0.930
2019-02-21 23:45:34.250,0.129,0.313,0.938
2019-02-21 23:45:34.263,0.129,0.313,0.938
2019-02-21 23:45:34.275,0.125,0.309,0.941
2019-02-21 23:45:34.288,0.129,0.309,0.930
2019-02-21 23:45:34.300,0.133,0.313,0.938
2019-02-21 23:45:34.313,0.129,0.313,0.934
2019-02-21 23:45:34.325,0.129,0.316,0.934
2019-02-21 23:45:34.338,0.125,0.313,0.930
2019-02-21 23:45:34.350,0.125,0.309,0.934
2019-02-21 23:45:34.363,0.129,0.309,0.934
2019-02-21 23:45:34.375,0.129,0.309,0.930
2019-02-21 23:45:34.388,0.129,0.309,0.934
2019-02-21 23:45:34.400,0.129,0.309,0.934
2019-02-21 23:45:34.413,0.125,0.309,0.934
2019-02-21 23:45:34.425,0.125,0.309,0.934
2019-02-21 23:45:34.438,0.125,0.305,0.934
2019-02-21 23:45:34.450,0.129,0.305,0.934
2019-02-21 23:45:34.463,0.129,0.305,0.938
2019-02-21 23:45:34.475,0.133,0.313,0.941
2019-02-21 23:45:34.488,0.129,0.309,0.938
2019-02-21 23:45:34.500,0.117,0.313,0.934
2019-02-21 23:45:34.513,0.129,0.305,0.938
2019-02-21 23:45:34.525,0.129,0.309,0.930
2019-02-21 23:45:34.538,0.129,0.309,0.930
2019-02-21 23:45:34.550,0.133,0.309,0.938
2019-02-21 23:45:34.563,0.129,0.309,0.934
2019-02-21 23:45:34.575,0.125,0.309,0.938
2019-02-21 23:45:34.588,0.133,0.309,0.938
2019-02-21 23:45:34.600,0.129,0.309,0.930
2019-02-21 23:45:34.613,0.125,0.309,0.930
2019-02-21 23:45:34.625,0.125,0.309,0.938
2019-02-21 23:45:34.638,0.133,0.309,0.938
2019-02-21 23:45:34.650,0.129,0.309,0.930
2019-02-21 23:45:34.663,0.125,0.309,0.926
2019-02-21 23:45:34.675,0.125,0.309,0.930
2019-02-21 23:45:34.688,0.133,0.305,0.934
2019-02-21 23:45:34.700,0.133,0.309,0.930
2019-02-21 23:45:34.713,0.137,0.309,0.938
2019-02-21 23:45:34.725,0.137,0.309,0.934
